ID,Year,From School Edit,To School Edit,Current Title,Gender,JD Year,JD School,# of Post-JD Degrees, TextPost , # Degrees ,Type,# of teaching jobs,Year of first teaching job,From Rank,To Rank,Rank diff,From Pop,To Pop,Pop diff
00002F5A,2018,University of Utah,Ohio State University,Dean and Frank R. Strong Chair in Law,M,2000,Stanford,0, 0 , -   ,,5,2007,62,38,24,2266715,2122271,-144444
00002F61,2018,Stanford University,University of Virginia,"Executive Vice President and Provost, University of Virginia, David and Mary Harrison Distinguished Professor of Law",F,1995,University of Virginia,0, 0 , -   ,,3,1997,2,8,-6,1990660,218358,-1772302
00002F68,2018,St. Thomas University ,University of New Mexico,Professor of Law,M,2005,Berkeley,0, 0 , -   ,,5,2008,150,62,88,2550960,2266715,-284245
00002F6F,2018,American University,Hofstra University,Professor of Law,M,1991,Stanford,0, 0 , -   ,,4,1998,76,102,-26,6280697,19216182,12935485
00002F76,2018,University of British Columbia,Emory University,Dean and Asa Griggs Candler Professor of Law,F,1987,SUNY Buffalo,1 - LLM (Harvard 1989), 1 , 1.00 ,,3,1989,111,24,87,998655,6018744,5020089
00002F7D,2018,University of Pennsylvania Department of Computer & Information Sciences,Georgetown University,"Professor of Law; Robert L. McDevitt, K.S.G., K.C.H.S. and Catherine H. McDevitt L.C.H.S. Chair, Department of Computer Science",M,NA,NA,"MS (Columbia 1988)
MA (Princeton 1989)
PhD (Princeton 1993)", 2.00 , 2.00 ,,2,2004,62,14,48,2266715,6280697,4013982
00002F84,2018,University of Virginia,Harvard University,Assistant Professor of Law,F,2011,Yale,1 - PhD (Yale 2016), 1 , 1.00 ,,2,2016,8,3,5,218358,4873019,4654661
00002F8B,2018,University of Georgia,"University of California, Irvine",Professor of Law,F,2005,NYU,0, 0 , -   ,,3,2010,99,99,0,1127983,1127983,0
00002F92,2018,Rutgers University back,Brooklyn Law School,"President, Joseph Crea Dean, and Professor of Law",M,1999,University of Michigan,0, 0 , -   ,,5,2001,76,83,-7,6102434,19216182,13113748
00002F99,2018,St. Mary's University,South Texas College of Law,President and Dean,M,1992,Yale,1 - MA (University of San Francisco 2009), 1 , 1.00 ,,2,2003,150,141,9,2550960,13957,-2537003
00002FA0,2018,George Washington University,Arizona State University,Professor of Law,M,1987,Harvard,0, 0 , -   ,,6,1993,23,24,-1,6280697,4948203,-1332494
00002FA7,2018,Brooklyn Law School,"University of Connecticut, Hartford",Professor of Law,M,2003,Yale,0, 0 , -   ,,3,2007,83,99,-16,19216182,1127983,-18088199
00002FAE,2018,Howard University,College of William & Mary,Associate Professor of Law,F,2011,Columbia,0, 0 , -   ,,3,2015,107,102,5,6280697,2048449,-4232248
00002FB5,2018,University of Baltimore,University of Maryland,Professor of Law,F,2008,Yale,0, 0 , -   ,,2,2014,111,47,64,998655,2800053,1801398
00002FBC,2018,George Washington University,University of Florida,"PROFESSOR OF LAW, JAMES J. FREELAND EMINENT SCHOLAR CHAIR IN TAXATION, Director of Global Scholarly Initiatives",M,2002,University of Michigan,1 - PhD (Monash University 2017), 1 , 1.00 ,,13,1984,23,99,-76,6280697,1127983,-5152714
00002FC3,2018,University of Southern California,"University of California, Berkeley",Professor of Law,M,1997,Harvard,0, 0 , -   ,,5,2001,62,99,-37,2266715,1127983,-1138732
00002FCA,2018,Temple University,Fordham University,Associate Professor of Law,F,2006,University of Virginia,0, 0 , -   ,,2,2015,56,27,29,6102434,19216182,13113748
00002FD1,2018,Columbia University,Northeastern University,University Distinguished Professor of Law and Humanities,F,1975,Harvard,0, 0 , -   ,,8,1980,4,67,-63,19216182,4873019,-14343163
00002FD8,2018,Georgia State University,Ohio State University,Associate Professor of Law,F,2009,Stanford,0, 0 , -   ,,3,2013,76,38,38,6018744,2122271,-3896473
00002FDF,2018,"University of California, Los Angeles","University of California, Irvine",Professor of Law,F,1981,Yale,0, 0 , -   ,,14,1988,99,99,0,1127983,1127983,0
00002FE6,2018,Duke University,Max Planck Institute for Foreign and Private International Law,Director  ,M,1994,University of Passau,"2 - LLM (Cambridge 1995)
      Dr. iur (SJD) (University of Passau 2000)", 2 , 2.00 ,,9,2002,12,102,-90,2079687,66699,-2012988
00002FED,2018,University of Maine,University of Hawaii,Assistant Professor of Law,M,2009,Harvard,0, 0 , -   ,,3,2013,122,99,23,538500,1127983,589483
00002FF4,2018,University at Buffalo-State University of New York,"University of North Carolina, Chapel Hill",Professor of Law,M,2004,Harvard,0, 0 , -   ,,4,2007,111,62,49,998655,2266715,1268060
00002FFB,2018,University of Pennsylvania,University of Chicago,Professor of Law,M,2013,Harvard,0, 0 , -   ,,3,2014,62,99,-37,2266715,1127983,-1138732
00003002,2018,"University of Arkansas, Little Rock",University of Oregon,Assistant Professor,F,2002,Lewis and Clark,0, 0 , -   ,,5,2007,111,62,49,998655,2266715,1268060
00003009,2018,"University of Washington, Seattle",George Mason University,"Professor of Law; Executive Director, Center for the Protection of Intellectual Property (CPIP)",M,1998,Stanford,0, 0 , -   ,,6,2001,42,42,0,3979845,6280697,2300852
00003010,2018,"University of Washington, Seattle","Washington University, St. Louis",Associate Professor of Law,M,2003,Harvard,"2 - MA (Berkeley 2014)
     PhD (Berkeley 2014)", 2 , 2.00 ,,3,2014,42,17,25,3979845,2801423,-1178422
00003017,2018,West Virginia University,Arizona State University,Professor of Law and Deputy Director of the Academy for Justice,F,2006,University of Chicago,0, 0 , -   ,,5,2010,111,24,87,139044,4948203,4809159
0000301E,2018,Savannah Law School,University of New Mexico,Associate Professor of Law,M,2009,NYU,0, 0 , -   ,,4,2012,107,62,45,1990660,2266715,276055
0000302C,2018,Cornell University,Northwestern University,Professor of Law,M,2007,Harvard,0, 0 , -   ,,2,2015,13,8,5,102180,9457867,9355687
00003048,2017,University of Toledo,Duquesne University,Associate Professor,F,2007,Tulane,0, 0 , -   ,,7,2012,62,129,-67,2266715,6102434,3835719
0000304F,2017,University of Kentucky,University of Arizona,Professor of Law,F,2008,Harvard,0, 0 , -   ,,3,2011,99,111,-12,1127983,998655,-129328
00003056,2017,University of Utah,University of Pittsburgh,Dean and Professor of Law,F,1998,University of Illinois,0, 0 , -   ,,4,2000,62,62,0,2266715,2266715,0
0000305D,2017,DePaul University,Brooklyn Law School,Professor of Law,M,1998,Duke,0, 0 , -   ,,3,2004,118,83,35,9457867,19216182,9758315
00003064,2017,University of Kentucky,University of Arizona,Professor of Law,M,2007,Harvard,1 - PhD (Cambridge 2012), 1 , 1.00 ,,4,2007,99,111,-12,1127983,998655,-129328
0000306B,2017,"University of California, Berkeley",Boston University,Dean and Professor of Law,F,1997,University of Michigan,"3 - MA (Yale 2014)
     M.Phil (Yale 2016)
     PhD (Yale 2017)", 3 , 3.00 ,,7,2003,99,20,79,1127983,4873019,3745036
00003072,2017,"University of California, Berkeley",Stanford University,Adelbert H. Sweet Professor of Law,F,2000,Yale,1 - PhD (Harvard 2002), 1 , 1.00 ,,7,1995,99,2,97,1127983,1990660,862677
00003079,2017,Cornell University,Northwestern University,"Executive Director of the Roberta Buffett Institute for Global Studies, Associate Provost for Global Affairs, Professor of Law",F,1993,Harvard,1 - PhD (Cambridge 1996), 1 , 1.00 ,,10,1995,13,8,5,102180,9457867,9355687
00003080,2017,"Indiana University, Indianapolis",Florida International University,Dean and Professor of Law,M,1997,Stanford,0, 0 , -   ,,3,2003,122,90,32,2076531,6166488,4089957
00003087,2017,"University of California, Davis",Georgetown University,Professor of Law,M,1992,Yale,0, 0 , -   ,,7,2001,99,14,85,1127983,6280697,5152714
0000308E,2017,West Virginia Univeristy,Marquette University,Professor of Law,M,2000,Duke,0, 0 , -   ,,3,2006,83,102,-19,4319629,66699,-4252930
00003095,2017,"University of California, Irvine back",University of Amsterdam,Professor of Law and Society,M,NA,NA,"LLB+LLB equiv (Leiden University 1997)
BA+MA equiv (Leiden University 2000)
PhD (Leiden University 2006)", 2.00 , 2.00 ,,5,2002,99,111,-12,1127983,998655,-129328
00003033,2017,"Hebrew University, Jerusalem",University of California Hastings,Professor of Law,M,NA,NA,"LLB (Hebrew University of Jerusalem 2004)
JSM (Stanford 2006)
MA (Stanford 2011)
JSD (Stanford 2012)", 4.00 , 4.00 ,,3,2012,96,99,-3,974563,1127983,153420
0000309C,2017,University of Virginia,Duke University,"L. Neil Williams, Jr. Professor of Law",M,2001,Columbia,0, 0 , -   ,,2,2005,8,12,-4,218358,2079687,1861329
000030A3,2017,Pennsylvania State University Dickinson School of Law,Washburn University,Dean and Professor of Law,F,1992,Howard University,0, 0 , -   ,,3,2000,60,107,-47,162385,231969,69584
000030AA,2017,Southern University,"University of Oklahoma, Norman",Associate Professor of Law,M,2010,Louisiana State University,0, 0 , -   ,,4,2017,150,62,88,854884,2266715,1411831
000030B1,2017,Brooklyn Law School,"Wharton School, University of Pennsylvania",Assistant Professor of Legal Studies & Business Ethics,F,2010,Yale,0, 0 , -   ,,4,2014,83,150,-67,19216182,13214799,-6001383
000030B8,2017,"University of Missouri, Kansas City",Drake University,"This prof is not at Drake per the faculty directory, etc. I found an article saying he was going to be a center director at Drake but I think it maybe didn't happen and he's still at UMKC",M,1998,Berkeley,0, 0 , -   ,,8,1987,141,105,36,1344910,699292,-645618
000030BF,2017,Florida Coastal Law School,University of Dayton,Assistant Professor of Law,M,1992,NYU,1 - MA (UT Austin 1994), 1 , 1.00 ,,6,2004,150,99,51,2608147,1127983,-1480164
000030C6,2017,Columbia University,Stanford University,"William F. Baxter-Visa International Professor of Law, Senior Fellow, by courtesy, Freeman Spogli Institute for International Studies",M,1989,Columbia,0, 0 , -   ,,5,1994,4,2,2,19216182,1990660,-17225522
000030CD,2017,University of Connecticut,"University of California, Irvine",Professor of Law,F,2009,Harvard,0, 0 , -   ,,2,2011,99,99,0,1127983,1127983,0
000030D4,2017,University of San Francisco,Golden Gate University,Professor of Law,M,1990,University of Michigan,0, 0 , -   ,,5,1996,62,150,-88,2266715,4731803,2465088
000030DB,2017,University of Arizon,"University of California, Los Angeles",Professor of Law,M,2002,Yale,0, 0 , -   ,,2,2008,111,99,12,998655,1127983,129328
000030E2,2017,University of Hawaii,University of Notre Dame,Associate Professor of Human Rights Law and Global Affairs,F,2004,jd equiv - University of the Philippines,"2 - LLM (Yale 2009)
     JSD (Yale 2011)", 2 , 2.00 ,,6,2006,99,62,37,1127983,2266715,1138732
000030E9,2017,University of Wyoming,University of Notre Dame,Associate Professor of Law,F,2006,NYU,0, 0 , -   ,,3,2014,42,62,-20,3979845,2266715,-1713130
000030F0,2017,University of North Dakota,University of Oklahoma,Professor of Law,M,2000,Harvard,0, 0 , -   ,,5,2005,62,62,0,2266715,2266715,0
000030F7,2017,University of Calgary,"University of Oklahoma, Norman",Associate Professor,F,2006,Harvard,1 - PhD (George Washington University 2015), 1 , 1.00 ,,4,2012,99,62,37,1127983,2266715,1138732
000030FE,2017,Northwestern University,George Mason University,"Professor of Law and Director, Center for the Middle East and International Law",M,2001,University of Chicago,0, 0 , -   ,,5,2003,8,42,-34,9457867,6280697,-3177170
0000303A,2017,University of San Diego,"University of California, Berkeley",Professor of Law,M,1992,Yale,0, 0 , -   ,,4,1997,62,99,-37,2266715,1127983,-1138732
00003105,2017,Suffolk University,"University of Nevada, Las Vegas",William S. Boyd Professor of Law,M,1995,Duke,0, 0 , -   ,,4,2000,136,62,74,4873019,2266715,-2606304
0000310C,2017,University of Southern California,University of Toronto,"Schwartz Reisman Chair in Technology and Society, Professor of Law and Professor of Strategic Management. Director, Schwartz Reisman Institute for Technology and Society",F,1988,Stanford,1 - PhD (Stanford 1990), 1 , 1.00 ,,10,1990,62,62,0,2266715,2266715,0
00003113,2017,Suffolk University,American University,Associate Professor of Law,F,NA,NA,"LLB (University of Sydney 2003)
LLM (Georgetown 2010)", 1.00 , 1.00 ,,6,2014,136,76,60,4873019,6280697,1407678
0000311A,2017,"Washington University, St. Louis",Georgetown University,Professor of Law and Associate Dean for Strategy,F,1993,Harvard,0, 0 , -   ,,4,1997,17,14,3,2801423,6280697,3479274
00003121,2017,Duquesne University,Gonzaga University,Dean and Professor of Law,M,2007,University of Virginia,"2 - MEd (University of Virginia 20XX)
     PhD (University of Virginia 2012)", 2 , 2.00 ,,2,2012,129,118,11,6102434,568521,-5533913
00003128,2017,Harvard University Education School back,University of Virginia,"President, University of Virginia, George M. Kaufman Presidential Professor, Professor of Law, Professor of Education",M,1992,University of Virginia,0, 0 , -   ,,4,2002,3,8,-5,4873019,218358,-4654661
0000312F,2017,Duke University,Columbia University,Professor of Law,M,2001,Yale,0, 0 , -   ,,8,2004,12,4,8,2079687,19216182,17136495
00003136,2017,"University of California, Irvine","University of California, Los Angeles",Professor of Law,F,1998,Yale,0, 0 , -   ,,5,2003,99,99,0,1127983,1127983,0
0000313D,2017,University of Memphis,Tulane University,Charles E. Lugenbuhl Associate Professor of Law,M,2004,Berkeley,0, 0 , -   ,,2,2013,141,54,87,1344910,1270530,-74380
00003144,2017,University of Connecticut,"University of Illinois, Urbana-Champaign",Associate Professor of Law,M,2002,Harvard,0, 0 , -   ,,3,2010,99,99,0,1127983,1127983,0
0000314B,2017,University of Minnesota,Vanderbilt University,"Professor of Law, FedEx Research Professor, Co-Director, George Barrett Social Justice Program",F,2003,Yale,0, 0 , -   ,,4,2009,141,18,123,1344910,1933860,588950
00003152,2017,Baylor University,"University of Arkansas, Fayetteville",Professor of Law,F,2005,University of Iowa,0, 0 , -   ,,3,2009,50,111,-61,270868,998655,727787
00003159,2017,New York University,"University of California, Irvine",Professor of Law,M,2002,Harvard,1 - LLM (NYU 2007), 1 , 1.00 ,,7,2008,6,99,-93,19216182,1127983,-18088199
00003160,2017,Cardozo Law School,Graduate Center of the City University of New York,"Dean for Master's Programs, Professor of Sociology, Political Science, and Liberal Studies",F,2002,Yale,1 - Dphil (Oxford 2004), 1 , 1.00 ,,8,2004,150,118,32,2122271,568521,-1553750
00003167,2017,"University of California, Berkeley",Columbia University,Paul J. Evanson Professor of Law,M,NA,NA,PhD (Berkeley 2003), 1.00 , 1.00 ,,3,2003,99,4,95,1127983,19216182,18088199
0000316E,2017,University of Virginia,Duke University,"James B. Duke and Benjamin N. Duke Dean of the School of Law, Professor of Law",F,1998,Stanford,0, 0 , -   ,,4,2002,8,12,-4,218358,2079687,1861329
00003175,2017,University of New Mexico,University of Iowa,N. William Hines Dean and Professor of Law,M,1993,Yale,0, 0 , -   ,,5,2002,62,99,-37,2266715,1127983,-1138732
0000317C,2017,Drexel University,University of Richmond,Professor of Law,M,2003,Yale,"2 - MA (Princeton 2009)
      PhD (Princeton 2011)", 2 , 2.00 ,,2,2011,93,62,31,6102434,2266715,-3835719
00003183,2017,University of Detroit Mercy School of Law,"University of of Arkansas, Fayetteville.",Associate Professor of Law,M,2004,UCLA,"2 - LLM (University of Toronto 2008)
     Med (Harvard 2021)", 2 , 2.00 ,,5,2012,99,62,37,1127983,2266715,1138732
0000318A,2017,Pepperdine University,Tulane University,Hoffman Fuller Associate Professor of Law,F,2003,Harvard,0, 0 , -   ,,2,2010,47,54,-7,13214799,1270530,-11944269
00003191,2017,Universities of Helsinki & Eastern Finland,Tulane University,"James McCulloch Chair in Energy Law, Director, Tulane Center for Energy Law",M,2010,University of Helsinki,0, 0 , -   ,,5,2010,111,54,57,998655,1270530,271875
00003198,2017,University of North Dakota,University of Oklahoma,Professor of Law,F,2000,Berkeley,0, 0 , -   ,,3,2008,62,62,0,2266715,2266715,0
0000319F,2017,Seton Hall University,Tulane University,"McGlinchey Stafford Professor of Law, Associate Dean for Faculty Research",F,2003,University of Michigan,0, 0 , -   ,,6,2008,62,54,8,19216182,1270530,-17945652
000031A6,2017,University of Miami,"University of North Carolina, Chapel Hill",William D. Spry III Distinguished Professor of Law and Associate Dean for Faculty Development,F,2006,Stanford,0, 0 , -   ,,3,2009,141,62,79,1344910,2266715,921805
000031AD,2017,"University of Arkansas, Fayetteville",Louisiana State University,Assistant Professor of Law,F,2006,NYU,0, 0 , -   ,,4,1996,111,96,15,998655,854884,-143771
000031B4,2017,"University of California, Davis",Georgetown University,Professor of Law; Associate Dean for International and Graduate Programs,F,1997,Stanford,0, 0 , -   ,,5,1999,99,14,85,1127983,6280697,5152714
000031BB,2017,University of New Hampshire,"University of Arkansas, Fayetteville",Dean and Professor of Law,F,1995,University of Maine,0, 0 , -   ,,2,2007,62,111,-49,2266715,998655,-1268060
000031C2,2017,"University of California, Irvine",University of Washington,"Toni Rembe Dean, Professor of Law",M,1995,Berkeley,1 - LLM (University of Wisconsin 2004), 1 , 1.00 ,,5,2004,99,42,57,1127983,3979845,2851862
000031C9,2017,"University of Washington, Seattle",University of Georgia,Allen Post Professor,F,2004,Yale,0, 0 , -   ,,3,2011,42,99,-57,3979845,1127983,-2851862
000031D0,2017,"University of California, Berkeley",New York University,"Frederick I. and Grace Stokes Professor of Law, Faculty Director, Birnbaum Women’s Leadership Network",F,2002,Yale,0, 0 , -   ,,2,2006,99,6,93,1127983,19216182,18088199
000031D7,2017,Emory University,Northwestern University,William G. and Virginia K. Karnes Research Professor of Law,M,1999,University of Chicago,1 - PhD (Harvard 2009), 1 , 1.00 ,,4,2008,24,8,16,6018744,9457867,3439123
000031DE,2017,Barry University,Florida State University,Assistant Professor,M,2003,Yale,0, 0 , -   ,,3,2012,150,50,100,6166488,386454,-5780034
000031E5,2017,Texas A&M University,George Mason University,"Professor of Law, Associate Dean for Research and Faculty Development & Faculty Director of Graduate Studies",M,NA,NA,"MSc (University of London 1994)
LLM (University of London 2005)
Dphil (University of York 1998)", 2.00 , 2.00 ,,14,1997,60,42,18,7573136,6280697,-1292439
000031EC,2017,"University of California, Irvine",Temple University,Murray H. Shusterman Professor of Transactional and Business Law,F,1994,Harvard,0, 0 , -   ,,8,2003,99,56,43,1127983,6102434,4974451
000031F3,2017,George Washington University,University of Southern California,Frances R. and John J. Duggan Distinguished Professor of Law,M,1997,Harvard,0, 0 , -   ,,5,2001,23,62,-39,6280697,2266715,-4013982
000031FA,2017,Willamette University,University of Florida,Associate Professor of Law,M,2011,Yale,0, 0 , -   ,,4,2012,141,99,42,433903,1127983,694080
00003201,2017,Louisiana State University,University of Pittsburgh,Associate Professor of Law,M,2001,Louisiana State University,1 - LLM (NYU 2006), 1 , 1.00 ,,2,2011,96,62,34,854884,2266715,1411831
00003208,2017,Brooklyn Law School,Fordham University,Professor of Law,F,2004,Yale,0, 0 , -   ,,3,2008,83,27,56,19216182,19216182,0
00003216,2017,Emory University,Texas A&M University,Dean and Anthony G. Buzbee Endowed Dean's Chair,M,1997,Yale,0, 0 , -   ,,14,1997,24,60,-36,6018744,7573136,1554392
0000321D,2017,Columbia University,New York University,"Professor of Law, Co-Director of the Institute for Corporate Governance and Finance, and Director of the Program on Corporate Law and Policy",M,2005,Harvard,0, 0 , -   ,,2,2010,4,6,-2,19216182,19216182,0
00003224,2017,Valparaiso University,University of Baltimore,Associate Professor of Law,M,2001,Northwestern,0, 0 , -   ,,5,2006,45,111,-66,1232696,998655,-234041
00003232,2017,Case Western Reserve University,Saint Louis University,"Center for Health Law Studies; William C. Wefel Center for Employment Law, School of Law Professor, Executive Director and Co-Founder, Institute for Healing Justice and Equity",F,2000,Georgetown,0, 0 , -   ,,4,2003,76,90,-14,2048449,2801423,752974
00003239,2017,"University of California, Los Angeles",University of Notre Dame,Professor of Law,M,2005,University of Chicago,0, 0 , -   ,,4,2008,99,62,37,1127983,2266715,1138732
00003240,2017,"University of Nebraska, Lincoln",University of Montana,"Professor, Natural Resources and Environmental Law Program",F,1990,University of South Dakota,1 - LLM (George Washington University 1996), 1 , 1.00 ,,8,1997,141,141,0,1344910,1344910,0
00003247,2017,Barry University,"Indiana University, Indianapolis",Associate Professor of Law and Dean's Fellow,F,2000,Northwestern,0, 0 , -   ,,3,2007,150,122,28,6166488,2076531,-4089957
0000324E,2017,"University of California, Irvine","University of California, Berkeley",Professor of Law,M,2008,Columbia,0, 0 , -   ,,3,2011,99,99,0,1127983,1127983,0
00003255,2017,Whittier Law School,"California State University, San Bernardino",Associate Provost for Faculty Affairs and Development and Co-Chief Diversity Officer,F,2002,NYU,1 - LLM (NYU 2004), 1 , 1.00 ,,3,2005,150,83,67,13214799,19216182,6001383
0000325C,2017,Whittier Law School,Northern Kentucky University Chase College of Law,Assistant Professor,M,1999,Northwestern,1 - PhD (University of Chicago 2013), 1 , 1.00 ,,9,2000,150,150,0,13214799,2219750,-10995049
00003263,2017,Whittier Law School,"University of Nevada, Las Vegas",Professor of Law,M,1999,Georgetown,1 - PhD (UC Irvine), 1 , 1.00 ,,2,2011,150,62,88,13214799,2266715,-10948084
0000326A,2017,Catholic University,"University of Colorado, Boulder",Provost Professor of Civil Rights Law and Director of The Byron R. White Center for the Study of American Constitutional Law,F,1994,NYU,0, 0 , -   ,,5,2003,76,99,-23,2048449,1127983,-920466
00003271,2017,Tulane University,"Loyola University, New Orleans",President,F,1995,Harvard,0, 0 , -   ,,2,1998,54,62,-8,1270530,13214799,11944269
00003041,2017,University of San Diego,"University of California, Irvine",Professor of Law,M,1996,Columbia,0, 0 , -   ,,6,2003,62,99,-37,2266715,1127983,-1138732
00003278,2017,Concordia University ,Creighton University,"Associate Professor, Endowed Professorship, Frank J. Kellegher Professor of Trusts & Estates",F,1999,California Western School of Law,1 - LLM (NYU 2000), 1 , 1.00 ,,5,2000,150,133,17,749057,949726,200669
0000327F,2017,"University of Colorado, Boulder","University of California, Los Angeles","Professor of Law, Michael J. Klein Chair in Law ",M,2002,Stanford,0, 0 , -   ,,2,2008,99,99,0,1127983,1127983,0
0000329B,2016,"Washington University, St. Louis","University of California, Berkeley",Professor of Law,M,2003,Berkeley,1 - PhD (Berkeley 2004), 1 , 1.00 ,,5,2008,17,99,-82,2801423,1127983,-1673440
000032A2,2016,"Loyola Law School, Los Angeles","University of California, Irvine","Chancellor's Professor of Law, Co-Director, Center in Law, Society, and Culture",F,1995,Stanford,0, 0 , -   ,,4,2003,96,99,-3,854884,1127983,273099
000032A9,2016,"University of North Carolina, Chapel Hill ",University of Alabama,"D. Paul Jones Chairholder in Law

this prof no longer has a faculty page on the Alabama website but recent news articles still refer to him as a prof there, unsure what happened",M,1990,Columbia,PhD (Harvard XXXX) unsure if pre or post JD, 1.00 , 1.00 ,,2,2008,62,111,-49,2266715,998655,-1268060
000032B0,2016,Seton Hall University,Brooklyn Law School,Professor of Law,F,2001,Harvard,1 - PhD (Harvard 2004), 1 , 1.00 ,,7,2005,62,83,-21,19216182,19216182,0
000032B7,2016,"University of California, Los Angeles",University of Pennsylvania,Professor of Law,F,2004,Yale,0, 0 , -   ,,3,2010,99,62,37,1127983,2266715,1138732
000032BE,2016,College of William & Mary,Arizona State University,Charles J. Merriam Distinguished Professor of Law,F,2000,Harvard,0, 0 , -   ,,2,2007,102,24,78,2048449,4948203,2899754
000032C5,2016,Syracuse University,University at Buffalo,Dean and Professor of Law,F,2000,University of Pennsylvania,0, 0 , -   ,,3,2003,111,111,0,648593,998655,350062
000032CC,2016,Barry University,"University of Nevada, Las Vegas","Director of the Public Policy Clinic, Associate Professor of Law",M,2007,Columbia,0, 0 , -   ,,3,2012,150,62,88,6166488,2266715,-3899773
000032D3,2016,"Hebrew University, Jerusalem",University of California Hastings,Professor of Law,M,NA,NA,"LLB (Hebrew University of Jerusalem 2004)
JSM (Stanford 2006)
MA (Stanford 2011)
JSD (Stanford 2012)", 4.00 , 4.00 ,,3,2012,96,99,-3,974563,1127983,153420
000032DA,2016,Louisiana State University,University of Houston,"A.L. O'Quinn Chair in Environmental Studies; Professor of Law   Co-Director, Environment, Energy, & Natural Resources (EENR) Center",M,2007,Duke,0, 0 , -   ,,4,2009,96,99,-3,854884,1127983,273099
000032E1,2016,"University of Wisconsin, Madison",Georgetown University,Professor of Law,M,1999,Yale,0, 0 , -   ,,3,2008,42,14,28,3979845,6280697,2300852
000032E8,2016,Cardozo Law School/Yeshiva University,Villanova University,"The Charles Widger Endowed University Professor in Law, Business and Economics",M,2000,Georgetown,0, 0 , -   ,,9,2006,150,62,88,2122271,6102434,3980163
000032EF,2016,"University of California, Irvine","University of California, Berkeley",Barbara Nachtrieb Armstrong Professor of Law,F,1986,Berkeley,1 - LLM (University of Wisconsin 1995), 1 , 1.00 ,,7,1991,99,99,0,1127983,1127983,0
000032F6,2016,Washington & Lee University,University of Georgia,Stembler Family Distinguished Professor in Business Law,M,2001,Harvard,0, 0 , -   ,,4,2005,107,99,8,231969,1127983,896014
000032FD,2016,University of Baltimore,University of Akron,"Dean and C. Blake McDowell, Jr. Professor of Law",M,1992,University of Michigan,0, 0 , -   ,,7,1995,111,111,0,998655,998655,0
00003304,2016,Texas Tech University ,"John Marshall Law School, Chicago","Dean, Professor of Law",F,1988,Vanderbilt,0, 0 , -   ,,5,1990,111,140,-29,321982,9457867,9135885
0000330B,2016,"University of California, Berkeley","Indiana University, Bloomington",Professor of Law,M,2005,Yale,0, 0 , -   ,,3,2005,99,122,-23,1127983,2076531,948548
0000328D,2016,"University of Colorado, Boulder",University of Florida,Professor of Law,M,1996,Yale,0, 0 , -   ,,11,1992,99,99,0,1127983,1127983,0
00003319,2016,Temple University,University of Pennsylvania,Professor of Law,M,2001,Harvard,0, 0 , -   ,,3,2004,56,62,-6,6102434,2266715,-3835719
00003320,2016,"Indiana University, Indianapolis","University of Nevada, Las Vegas","Director, UNLV Health Law Program, Judge Jack and Lulu Lehman Professor of Law",M,1986,Harvard,0, 0 , -   ,,8,1995,122,62,60,2076531,2266715,190184
00003327,2016,"University of Colorado, Boulder",University of Virginia,"WILLIAM L.MATHESON AND ROBERT M.MORGENTHAU DISTINGUISHED PROFESSOR OF LAW, F. PALMER WEBER RESEARCH PROFESSOR OF CIVIL LIBERTIESAND HUMAN RIGHTS",F,1987,University of Virginia,1 - PhD (University of Colorado at Denver 2018), 1 , 1.00 ,,5,1991,99,8,91,1127983,218358,-909625
0000332E,2016,Valparaiso University,"University of Missouri, Kansas City",Associate Professor of Law,M,1996,University of Chicago,1 - MPP (Harvard 1997), 1 , 1.00 ,,2,2010,45,141,-96,1232696,1344910,112214
00003335,2016,"University of California, Los Angeles",Yale University,Anne Urowsky Professor of Law,M,2003,Harvard,0, 0 , -   ,,6,2007,99,1,98,1127983,854757,-273226
0000333C,2016,George Washington University,"Pennsylvania State University, University Park","Professor of Law and International Affairs
Senior Scientist, Rock Ethics Institute",F,1999,Yale,0, 0 , -   ,,3,2009,23,60,-37,6280697,162385,-6118312
00003343,2016,Whittier Law School,University of British Columbia,Associate Professor,M,NA,NA,"LLM (University of Pennsylvania)
SJD (University of Pennsylvania)", 1.00 , 1.00 ,,5,2011,150,111,39,13214799,998655,-12216144
0000334A,2016,"University of Nevada, Las Vegas","University of Tennessee, Knoxville",Associate Professor of Law,M,2005,Cornell,0, 0 , -   ,,3,2010,62,62,0,2266715,2266715,0
00003351,2016,Ohio Northern University,University of Dayton,Associate Professor of Law,F,2005,Stanford,0, 0 , -   ,,4,2012,150,99,51,31425,1127983,1096558
00003358,2016,"University of California, Irvine","University of California, Berkeley","Dean, Jesse H. Choper Distinguished Professor of Law",M,1978,Harvard,0, 0 , -   ,,7,1980,99,99,0,1127983,1127983,0
0000335F,2016,Florida State University,University of Southern California,"Vice Dean for Faculty and Academic Affairs, and Professor of Law",F,2005,University of Chicago,0, 0 , -   ,,4,2008,50,62,-12,386454,2266715,1880261
00003366,2016,University of San Diego,"University of California, Berkeley",Professor of Law,M,1992,Yale,0, 0 , -   ,,4,1997,62,99,-37,2266715,1127983,-1138732
0000336D,2016,"University of California, Berkeley",Emory University,Associate Professor of Law,M,2007,Stanford,0, 0 , -   ,,3,2010,99,24,75,1127983,6018744,4890761
